"File","Description"
"00-summary.md","用户直接风险、影响规模、已验证攻击能力"
"01-background.md","研究背景、Bug Hunt 参与过程、阶段划分"
"02-scope-boundaries.md","测试边界、资金边界、D0 验证边界、公开材料边界"
"03-timeline.md","从 2026 年 2 月到 6 月 9 日披露的关键节点"
"04-authorization-and-communication.md","会议、群聊、披露窗口和书面通知依据"
"05-vulnerabilities.md","Donut Browser 35 个漏洞与 D0/OpenClaw 14 个漏洞的完整索引"
"06-donut-browser.md","资金攻击链、Turnkey 边界、链上交易证据"
"07-d0-openclaw.md","控制面泄露、RCE、容器信息提取和影响边界"
"08-vendor-response.md","赏金沟通、社区奖励处理和专项事件争议"
"09-donut-ai-easter-egg.md","Donut D0 AI Agent 对事件处理方式的讽刺性旁证"
"10-cve.md","9 个 CVE ticket 与漏洞映射"
"11-user-advice.md","Donut Browser、钱包和 D0 用户的风险建议"
"12-industry-impact.md","AI + Crypto、Bug Bounty、第三方安全边界问题"
"13-evidence-index.md","会议、截图、链上交易、CVE、复测和 D0 证据索引"
"14-legal-and-ethics.md","授权范围、非攻击指引、公开材料边界"
"15-author.md","作者简介和联系方式"
"16-publication-todo.md","6 月初复测、证据编号、英文版和最终校对"
